Date,Price,ConfidenceLow,ConfidenceHigh,LineColor
2022-12-15,73.78,67.88211069123983,76.45231107746766,red
2022-12-14,76.14,68.73355755184608,75.96161251618113,black
2022-12-13,74.0,69.58500441245232,75.47091395489461,black
2022-12-12,73.74,70.43645127305857,74.98021539360809,black
2022-12-11,71.9,71.32064389245404,76.12887991706975,black
2022-12-09,71.5,73.08902913124501,78.42620896399308,black
2022-12-08,72.06,73.9732217506405,79.57487348745474,black
2022-12-07,72.58,74.85741437003598,80.7235380109164,black
2022-12-06,74.47,75.74160698943147,81.87220253437806,black
2022-12-05,77.4,76.62579960882695,83.02086705783972,black
2022-12-04,81.15,76.3430354579535,82.80325025633222,black
2022-12-02,80.3,75.7775071562066,82.36801665331721,black
2022-12-01,81.33,75.49474300533315,82.15039985180972,black
2022-11-30,80.56,75.2119788544597,81.93278305030222,black
2022-11-29,78.2,74.92921470358624,81.71516624879472,black
2022-11-28,77.24,74.64645055271279,81.49754944728721,black
2022-11-25,76.28,75.38566293235952,84.80405135335478,black
2022-11-24,77.95,75.63206705890842,85.90621865537729,black
2022-11-23,77.94,75.87847118545733,87.00838595739981,black
2022-11-22,80.95,76.12487531200624,88.11055325942233,black
2022-11-21,79.73,76.37127943855515,89.21272056144485,black
2022-11-18,80.08,79.67423520695469,89.69490765018817,black
2022-11-17,81.64,80.77522046308786,89.85563667976928,black
2022-11-16,85.59,81.87620571922105,90.01636570935038,black
2022-11-15,86.92,82.97719097535422,90.17709473893149,black
2022-11-14,85.87,84.0781762314874,90.33782376851259,black
2022-11-11,88.96,85.0248453854428,91.9454403288429,black
2022-11-10,86.47,85.34040177009462,92.48131251561968,black
2022-11-09,85.83,85.65595815474641,93.01718470239645,black
2022-11-08,88.91,85.97151453939821,93.55305688917322,black
2022-11-07,91.79,86.28707092405001,94.08892907594999,black
2022-11-04,92.61,85.52433634733771,92.41737793837657,black
2022-11-03,88.17,85.27009148843362,91.8601942258521,black
2022-11-02,90.0,85.01584662952952,91.30301051332762,black
2022-11-01,88.37,84.76160177062542,90.74582680080316,black
2022-10-31,86.53,84.50735691172132,90.18864308827868,black
2022-10-28,87.9,83.60348493385223,88.9050864947192,black
2022-10-27,89.08,83.30219427456254,88.47723429686604,black
2022-10-26,87.91,83.00090361527285,88.04938209901289,black
2022-10-25,85.32,82.69961295598314,87.62152990115972,black
2022-10-24,84.58,82.39832229669345,87.19367770330656,black
2022-10-21,85.05,82.97003515830566,88.81967912740862,black
2022-10-20,85.98,83.1606061121764,89.3616796021093,black
2022-10-19,85.55,83.35117706604713,89.90368007680999,black
2022-10-18,82.82,83.54174801991788,90.44568055151068,black
2022-10-17,85.46,83.73231897378861,90.98768102621136,black
2022-10-14,85.61,84.0048174434072,92.37803969944991,black
2022-10-13,89.11,84.0956502666134,92.84149259052944,black
2022-10-12,87.27,84.1864830898196,93.30494548160895,black
2022-10-11,89.35,84.2773159130258,93.76839837268848,black
2022-10-10,91.13,84.368148736232,94.231851263768,black
2022-10-07,92.64,81.20205306965747,90.28366121605681,black
2022-10-06,88.45,80.14668784746596,88.96759786681976,black
2022-10-05,87.76,79.09132262527444,87.6515345175827,black
2022-10-04,86.52,78.03595740308293,86.33547116834563,black
2022-10-03,83.63,76.98059218089142,85.01940781910858,black
2022-09-30,79.49,75.99904669110441,86.22895330889558,black
2022-09-29,81.23,75.67186486117541,86.63213513882458,black
2022-09-28,82.15,75.3446830312464,87.03531696875358,black
2022-09-27,78.5,75.0175012013174,87.43849879868259,black
2022-09-26,76.71,74.6903193713884,87.84168062861158,black
2022-09-23,78.74,78.42963610403915,88.45664961024657,black
2022-09-22,83.49,79.67607501492272,88.66163927079155,black
2022-09-21,82.94,80.9225139258063,88.86662893133655,black
2022-09-20,84.45,82.16895283668988,89.07161859188155,black
2022-09-19,85.73,83.41539174757347,89.27660825242654,black
2022-09-16,85.11,82.15087757041282,89.71826528673004,black
2022-09-15,85.1,81.72937284469259,89.86548429816455,black
2022-09-14,88.48,81.30786811897238,90.01270330959905,black
2022-09-13,87.31,80.88636339325215,90.15992232103355,black
2022-09-12,87.78,80.46485866753194,90.30714133246805,black
