Date,Price,ConfidenceLow,ConfidenceHigh,LineColor
2023-01-25,76.39,75.70566083827187,78.88005344744239,green
2023-01-24,75.96,75.70566083827187,78.88005344744239,green
2023-01-23,76.4,75.70566083827187,78.88005344744239,green
2023-01-22,76.53,75.37785238699638,79.19112720484033,orange
2023-01-21,78.08,75.05004393572091,79.50220096223826,green
2023-01-20,77.78,74.72223548444542,79.8132747196362,green
2023-01-19,78.37,74.39442703316993,80.12434847703415,yellow
2023-01-18,77.33,74.06661858189445,80.43542223443208,yellow
2023-01-17,76.56,73.73881013061897,80.74649599183002,yellow
2023-01-16,77.29,73.41100167934349,81.05756974922795,orange
2023-01-15,78.69,73.23335470811143,80.60494461161646,green
2023-01-14,79.1,73.0557077368794,80.15231947400497,yellow
2023-01-13,78.09,72.87806076564735,79.69969433639348,green
2023-01-12,78.47,72.7004137944153,79.24706919878199,red
